ddb_g	genename	dd_bio_cor	dp_bio_cor
DDB_G0267216	DDB_G0267216	-0.258083793	0.803374254
DDB_G0267374	acpA	0.911091058	0.983999835
DDB_G0267376	acrA	0.996166357	0.987445322
DDB_G0267378	aqpA	0.996407203	0.970209598
DDB_G0267380	argE	0.893092938	0.988999589
DDB_G0267382	corA	0.975156263	0.991288756
DDB_G0267384	culB	0.858206518	0.85307467
DDB_G0267386	cysB	0.84442157	0.984571785
DDB_G0267388	dafE	0.879149919	-0.037481682
DDB_G0267390	psmB6	0.976226323	0.993183181
DDB_G0267392	plbG	0.743103768	0.80375986
DDB_G0267394	vps46	-0.13295955	0.959332177
DDB_G0267398	gppA	0.970746742	0.971925805
DDB_G0267400	hspD	0.606122197	0.977934722
DDB_G0267402	H3a	-0.100213259	0.916220748
DDB_G0267406	lmpA	0.955509792	0.529572969
DDB_G0267408	psmA3	0.948215859	0.990140637
DDB_G0267414	repD	0.993191764	0.917973955
DDB_G0267416	rpmA	0.968347971	0.773522254
DDB_G0267418	sahA	0.980153225	0.861378962
DDB_G0267420	sodA	0.830059647	0.978480402
DDB_G0267422	tipC	0.896905364	0.935509419
DDB_G0267424	amtC	0.849267776	0.976278956
DDB_G0267426	cshA	0.726499251	0.862944766
DDB_G0267428	abcH2	0.961604347	0.583962868
DDB_G0267430	abcG20	0.953371384	0.979488689
DDB_G0267434	DDB_G0267434	0.534116505	0.960366754
DDB_G0267436	abcF4	0.95927804	0.964343396
DDB_G0267438	abcA2	0.90410544	0.980403834
DDB_G0267440	lmpC	0.951226796	0.964897242
DDB_G0267442	cdk8	0.906015831	0.898610206
DDB_G0267444	phg1a	0.890562757	0.870393695
DDB_G0267446	cnbA	0.930226225	0.88917683
DDB_G0267448	DDB_G0267448	0.49163697	0.85760057
DDB_G0267450	pakC	0.733118232	0.982355018
DDB_G0267452	sonA	0.001892285	0.964767102
DDB_G0267454	ancA	0.986297247	0.982423572
DDB_G0267456	CBP2	0.964500166	0.988308793
DDB_G0267460	cybA	0.843639294	0.77323263
DDB_G0267462	Dd5P4	0.956336408	0.879550387
DDB_G0267464	polA	0.946356894	0.974548296
DDB_G0267468	adprt4	0.93048258	0.951425782
DDB_G0267470	dicB	0.962893472	0.957631453
DDB_G0267472	roco7	0.96515621	0.946856578
DDB_G0267476	sigK	0.987928754	0.996639227
DDB_G0267478	DDB_G0267478	0.252388583	0.799039727
DDB_G0267480	nup93	0.931791459	0.820442549
DDB_G0267482	DDB_G0267482	0.820317194	0.677873201
DDB_G0267484	acp1	0.892783905	0.956446708
DDB_G0267486	DDB_G0267486	0.948230075	0.209555203
DDB_G0267488	DDB_G0267488	0.64899434	0.836058354
DDB_G0267490	ChLim	0.986232357	0.970661656
DDB_G0267492	DDB_G0267492	0.917586503	0.768265517
DDB_G0267494	DDB_G0267494	0.62584731	0.630174949
DDB_G0267496	DDB_G0267496	0.761416769	0.960225654
DDB_G0267498	DDB_G0267498	0.937389166	0.778941047
DDB_G0267500	DDB_G0267500	0.992190818	0.769620682
DDB_G0267502	DDB_G0267502	0.967050958	0.909079064
DDB_G0267504	DDB_G0267504	0.968404327	0.979234922
DDB_G0267508	DDB_G0267508	0.715682055	0.816938317
DDB_G0267510	DDB_G0267510	0.767405271	0.387271502
DDB_G0267512	DDB_G0267512	0.640103413	0.796925331
DDB_G0267514	DDB_G0267514	0.884694507	0.940111781
DDB_G0267516	dhx57	0.96172483	0.963929629
DDB_G0267522	DDB_G0267522	0.431582497	0.4328353
DDB_G0267524	ssr3	0.941480436	0.972937468
DDB_G0267526	DDB_G0267526	0.902879189	0.964696395
DDB_G0267528	DDB_G0267528	0.982294035	0.98095854
DDB_G0267532	DDB_G0267532	0.97716675	0.987026381
DDB_G0267534	DDB_G0267534	0.688317539	0.913060782
DDB_G0267536	hibch	0.92987204	0.98365736
DDB_G0267538	DDB_G0267538	0.92642728	0.902125576
DDB_G0267540	scy1	0.911273887	0.881527715
DDB_G0267546	DDB_G0267546	0.982333674	0.961335308
DDB_G0267552	DDB_G0267552	0.778872521	0.983507106
DDB_G0267554	DDB_G0267554	0.771933184	0.805973746
DDB_G0267556	DDB_G0267556	0.967411189	0.997238354
DDB_G0267560	uprt	0.030026586	0.930537485
DDB_G0267562	DDB_G0267562	0.910689792	0.936537075
DDB_G0267568	gacO	0.778694473	0.972477995
DDB_G0267570	DDB_G0267570	0.967430683	0.979039913
DDB_G0267572	DDB_G0267572	0.716380488	0.889173792
DDB_G0267574	DDB_G0267574	0.80439559	0.878671675
DDB_G0267576	DDB_G0267576	0.673196615	0.605291573
DDB_G0267578	DDB_G0267578	0.374559977	-0.004164177
DDB_G0267582	DDB_G0267582	0.928863846	0.459619042
DDB_G0267584	adcE	0.91719583	0.934935507
DDB_G0267586	DDB_G0267586	0.771109758	0.916957674
DDB_G0267588	DDB_G0267588	0.991302967	0.555404385
DDB_G0267590	DDB_G0267590	0.760828222	NA
